№,КАТО,Новая протяженность КТ при последовательном подключении,Технология,Область,Район,Сельский округ,Нас пункт,Координаты СНП,Население,ГОД,Домохозяйства,Акимат,Школа,"Больница (ФАП, СВА, ВА)",Полиция (ОП),Аварийная служба (МЧС),Отдел обороны (Военкомат),Погран служба,Отдел ветеринарии,Библиотека,Сельский клуб/ДК,Общественная точка доступа,Цон,Количество подключенных объектов факт,Статус в разрезе населенного пкунтка,Доп. статус ,Что подключено,Кол-во точек,ВСЕГО ГУ/БО,Начало СМР,Завершение СМР,Ориентировочная протяженность ВОЛС (км),Откопка/Закопка траншей(км),Прокладка микротрубки(км)
447,154241500,,Спутник,Актюбинская область,Хобдинский район,с.о. Имангали Билтабанова,с. Байтак,"50.104664, 55.777600",,2026,113,,,,,,,,,,,,,0,В работе,,,0,0,,,,,
448,154258500,8,ВОЛС,Актюбинская область,Хобдинский район,с.о.им.И.Курманова,с.Егиндибулак,49.814518,318,2026,72,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,31.10.2026,,,
449,154241100,20,ВОЛС,Актюбинская область,Хобдинский район,с.о.Имангали Билтабанова,с.им.Имангали Билтабанова,50.019678 55.644548,452,2026,126,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,31.10.2026,,,
450,154241200,9,ВОЛС,Актюбинская область,Хобдинский район,с.о.Имангали Билтабанова,с.Косоткель,50.134357,146,2026,30,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,31.10.2026,,,
451,154237100,16,ВОЛС,Актюбинская область,Хобдинский район,Сарбулакский с.о.,с.Сарбулак,49.854285 55.751956,480,2026,141,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,31.10.2026,,,
452,154263200,10,ВОЛС,Актюбинская область,Хобдинский район,Согалинский с.о.,с.Когалы,50.867980,131,2025,32,,1,1,,,,,,,,,,2,Подключено,временно спутник,"1 Школа, 1 ФАП",2,1,15.03.2026,31.10.2026,,,
453,154263100,"30,2",ВОЛС,Актюбинская область,Хобдинский район,Согалинский с.о.,с.Кок Уй,50.957580,131,2026,40,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,31.10.2026,,,
454,154267200,3,ВОЛС,Актюбинская область,Хобдинский район,Терисакканский с.о.,с.Жанаталап,50.351844,299,2026,90,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,31.10.2026,,,
455,154267100,27,ВОЛС,Актюбинская область,Хобдинский район,Терисакканский с.о.,с.Терисаккан,50.437078,720,2026,167,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,31.10.2026,,,
456,156033100,10,ВОЛС,Актюбинская область,Хромтауский район,Абайский с.о.,с.Абай,50.181184 58.320635,283,2026,95,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
457,156047500,4,ВОЛС,Актюбинская область,Хромтауский район,Акжарский с.о.,ст.Жазык,50.206975 58.079392,309,2026,86,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
458,156039100,30,ВОЛС,Актюбинская область,Хромтауский район,Аккудыкский с.о.,с.Аккудык,50.368410 58.903519,466,2026,117,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
459,156035400,3,ВОЛС,Актюбинская область,Хромтауский район,Богетсайский с.о.,с.Карлау,50.118946 59.296431,115,2026,38,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
460,156040100,19,ВОЛС,Актюбинская область,Хромтауский район,Коктауский с.о.,с.Коктау,50.475778 59.078712,2510,2026,628,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
461,156037100,24,ВОЛС,Актюбинская область,Хромтауский район,Коктобинский с.о.,с.Майтобе,50.615249 58.990857,415,2026,104,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
462,156041100,8,ВОЛС,Актюбинская область,Хромтауский район,Копинский с.о.,с.Копа,49.934582 59.002988,671,2026,168,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
463,156041400,28,ВОЛС,Актюбинская область,Хромтауский район,Копинский с.о.,с.Тамды,49.930226 59.039896,587,2026,147,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
464,156043100,19,ВОЛС,Актюбинская область,Хромтауский район,Кудуксайский с.о.,с.Кудуксай,50.024463 58.792906,226,2026,67,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
465,156045600,15,ВОЛС,Актюбинская область,Хромтауский район,Кызылсуский с.о.,с.Кызылсу,50.478345 58.518816,307,2026,85,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
466,156045100,16,ВОЛС,Актюбинская область,Хромтауский район,Кызылсуский с.о.,с.Сарысай,50.385100 58.570785,503,2026,120,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
467,156036600,9,ВОЛС,Актюбинская область,Хромтауский район,с.о.Дон,с.Онгар,50.285196 58.543384,333,2026,91,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
468,156049100,"30,1",ВОЛС,Актюбинская область,Хромтауский район,Табантальский с.о.,с.Табантал,50.112061 57.828204,496,2026,111,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
496,193657300,1,ВОЛС (Wi-Fi public),Алматинская область,Балхашский район,Караойский с.о.,с.Аркар,"45.590692, 74.750054",72,2027,18,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2027,30.11.2027,,,
470,156053100,"38,3",ВОЛС,Актюбинская область,Хромтауский район,Тасоткельский с.о.,с.Тасоткель,50319286 59627317,299,2026,75,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
471,156051400,,Спутник,Актюбинская область,Хромтауский район,Тассайский с.о.,с. Кокпекти,"50.335049, 58.120181",,2027,54,,,,,,,,,,,,,0,В работе,,,0,0,,,,,
472,156051100,"30,8",ВОЛС,Актюбинская область,Хромтауский район,Тассайский с.о.,с.Тассай,50.451116 58.008885,453,2026,130,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
473,156443900,,Спутник,Актюбинская область,Шалкарский район,Кауылжарский,Улпан,"47.920916, 59.407377",,2025,53,,,,,,,,,,,1,,1,Подключено,,1 Публичный,1,0,,,,,
474,156433100,39,ВОЛС,Актюбинская область,Шалкарский район,Айшуакский с.о.,с.Бегимбет,"47.081598, 59.077981",1439,2027,360,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2027,30.11.2027,,,
475,156433200,13,ВОЛС,Актюбинская область,Шалкарский район,Айшуакский с.о.,с.Есетата,47.127404.59.172637,137,2027,34,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2027,30.11.2027,,,
476,156435100,4,ВОЛС,Актюбинская область,Шалкарский район,Актогайский с.о.,с.Котртас,"48.343004, 58.828102",671,2027,168,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2027,30.11.2027,,,
477,156437100,109,ВОЛС,Актюбинская область,Шалкарский район,Бозойский с.о.,с.Бозой,"46.216082.819722
  46.212370.58.813881",2626,2027,657,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2027,30.11.2027,,,
478,156437200,81,ВОЛС,Актюбинская область,Шалкарский район,Бозойский с.о.,с.Канбакты,46.550929.872901,134,2027,34,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2027,30.11.2027,,,
479,156441100,52,ВОЛС,Актюбинская область,Шалкарский район,Жанаконысский с.о.,с.Аккайтым,"47.481825, 59.289154",509,2027,127,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2027,30.11.2027,,,
480,156441200,"38,5",ВОЛС,Актюбинская область,Шалкарский район,Жанаконысский с.о.,с.Копасор,"47.746770, 59.158982",109,2027,27,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2027,30.11.2027,,,
481,156442300,3,ВОЛС,Актюбинская область,Шалкарский район,Кишикумский с.о.,с.Карашокат,"47.413481, 60.840890",398,2027,100,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2027,30.11.2027,,,
482,156442800,3,ВОЛС,Актюбинская область,Шалкарский район,Кишикумский с.о.,с.Шокысу,"47.246520, 60.994741",356,2027,89,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2027,30.11.2027,,,
483,156438200,12,ВОЛС,Актюбинская область,Шалкарский район,с.о.Бершугир,с.Алабас,"48.536507, 58.617763",155,2027,39,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2027,30.11.2027,,,
484,156438400,6,ВОЛС,Актюбинская область,Шалкарский район,с.о.Бершугир,с.Сарсай,"48.485768, 58.553703",248,2027,62,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2027,30.11.2027,,,
485,156439100,"21,3",ВОЛС,Актюбинская область,Шалкарский район,с.о.им.Есета Котибарова,с.Байкадам,"47.352359, 59.233466",636,2027,159,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2027,30.11.2027,,,
486,156445200,3,ВОЛС,Актюбинская область,Шалкарский район,Тогызский с.о.,с.Жылан,"47.674982, 60.289256",149,2027,37,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2027,30.11.2027,,,
487,156445280,"2,3",ВОЛС,Актюбинская область,Шалкарский район,Тогызский с.о.,с.Копмула,"47.703893, 59.938472",189,2027,47,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2027,30.11.2027,,,
488,156445100,3,ВОЛС,Актюбинская область,Шалкарский район,Тогызский с.о.,с.Тогыз,"47.556602, 60.541056",427,2027,107,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2027,30.11.2027,,,
489,156447100,5,ВОЛС,Актюбинская область,Шалкарский район,Челкарский с.о.,с.Жылтыр,"47.902146, 59.778874",495,2027,124,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2027,30.11.2027,,,
490,156451100,,Спутник,Актюбинская область,Шалкарский район,Шетиргизский с.о.,с.Каратогай,"48.710532, 59.685693",,2026,462,,,,,,,,,,,,,0,В работе,,,0,0,,,,,
491,156451200,"30,5",ВОЛС,Актюбинская область,Шалкарский район,Шетиргизский с.о.,с.Тумалыколь,"48.367807, 60.078456",186,2027,47,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2027,30.11.2027,,,
492,193637200,23,ВОЛС,Алматинская область,Балхашский район,Аккольский с.о.,с.Кокжиде,"45.11120905936128, 75.49847600514285",677,2026,169,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2027,30.11.2027,,,
493,193630200,3,ВОЛС,Алматинская область,Балхашский район,Баканасский с.о.,с.Бояулы,"44.83612859937247, 76.1810874350243",181,2026,45,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2027,30.11.2027,,,
494,193630300,6,ВОЛС,Алматинская область,Балхашский район,Баканасский с.о.,с.Ушжарма,"44.932852908887675, 75.85328252764369",204,2026,51,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2027,30.11.2027,,,
495,193653100,57,ВОЛС,Алматинская область,Балхашский район,Жиделинский с.о.,с.Жидели,"45.430544, 74.320759",1379,2026,345,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2027,30.11.2027,,,
499,193655300,1,ВОЛС (Wi-Fi public),Алматинская область,Балхашский район,Коктальский с.о.,с.Коскумбез,"45.547303, 74.906873",85,2027,21,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2027,30.11.2027,,,
497,193657100,59,ВОЛС,Алматинская область,Балхашский район,Караойский с.о.,с.Караой,"45.852922, 74.787469",1977,2026,494,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2027,30.11.2027,,,
498,193655100,67,ВОЛС,Алматинская область,Балхашский район,Коктальский с.о.,с.Коктал,"45.385168, 75.249239",1145,2026,286,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2027,30.11.2027,,,
512,194063200,7,ВОЛС (Wi-Fi public),Алматинская область,Енбекшиказахский район,Кырбалтабайский с.о.,с.Акжал,"43.718404, 77.357936",273,2026,68,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,31.10.2026,,,
500,193665200,3,ВОЛС,Алматинская область,Балхашский район,Куйганский с.о.,с.Караозек,"45.570160, 74.235598",64,2026,16,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2027,30.11.2027,,,
501,193665100,22,ВОЛС,Алматинская область,Балхашский район,Куйганский с.о.,с.Куйган,"45.375096, 74.133702",1256,2026,314,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2027,30.11.2027,,,
502,191037200,6,ВОЛС,Алматинская область,г.Конаев,Шингельдинский с.о.,с. Ак Озек,"43.938083, 77.517222",376,2026,94,,,,,,,,,,,,,0,В работе,,,0,0,30.04.2026,30.11.2026,,,
503,191037700,17,ВОЛС,Алматинская область,г.Конаев,Шенгельдинский с.о.,с.Сарыбулак,"43.904745, 77.676927",769,2026,192,,,,,,,,,,,,,0,В работе,,,0,0,30.04.2026,30.11.2026,,,
504,194035200,11,ВОЛС,Алматинская область,Енбекшиказахский район,Акшийский с.о.,с.Казатком,"43.579210, 77.725733",662,2026,166,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,31.10.2026,,,
505,194035300,6,ВОЛС,Алматинская область,Енбекшиказахский район,Акшийский с.о.,с.Кайрат,"43.546744, 77.590330",708,2026,177,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,31.10.2026,,,
